query_id,threshold,router_score,router_assignment,assignment_kind,cheap_model,strong_model,cheap_quality,strong_quality,cheap_input_tokens,cheap_output_tokens,strong_input_tokens,strong_output_tokens,selected_model,selected_quality,selected_realized_cost
gsm8k-0068,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0069,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0070,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0071,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0072,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0073,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0074,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0075,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0076,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0077,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0078,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0079,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0080,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0081,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0082,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0083,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0084,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0085,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0086,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0087,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0088,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0089,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0090,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0091,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0092,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0093,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0094,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0095,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0096,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0097,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0098,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0099,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0100,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0101,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0102,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0103,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0104,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0105,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0106,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0107,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0108,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0109,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0110,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0111,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0112,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0113,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0114,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0115,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0116,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0117,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0118,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0119,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0120,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0121,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0122,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0123,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0124,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0125,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0126,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0127,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0128,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0129,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0130,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0131,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0132,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0133,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0134,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0135,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0136,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0137,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0138,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0139,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0140,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0141,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0142,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0143,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0144,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0145,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0146,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0148,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0149,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0150,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0151,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0152,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0153,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0154,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0155,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0156,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0157,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0158,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0159,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0160,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0161,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0162,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0163,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0164,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0165,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0166,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0167,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0168,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0169,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0170,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0171,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0172,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0173,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0174,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0175,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0176,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0177,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0178,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0179,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0180,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0181,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0182,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0183,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0184,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0185,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0186,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0187,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0188,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0189,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0190,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0191,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0192,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0193,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0194,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0195,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0196,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0197,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0198,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0199,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0200,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0201,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0202,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0203,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0204,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0205,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0206,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0207,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0208,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0209,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0210,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0211,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0212,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0213,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
