variant,query_id,benchmark,assigned_tier,oracle_tier,correct,cost_usd,latency_s,regret_usd
full,mmlu/global_facts/75,mmlu,1,2,0,0.0041140199999999995,200.61,0.004043369999999999
full,mmlu/high_school_computer_science/13,mmlu,2,2,1,3.445e-05,1.88,0.0
full,mmlu/high_school_computer_science/23,mmlu,1,2,1,0.00015385000000000003,7.79,0.00011330000000000002
full,mmlu/high_school_us_history/23,mmlu,2,2,1,4.8650000000000003e-05,2.48,0.0
full,mmlu/high_school_us_history/69,mmlu,2,2,1,5.915e-05,2.51,0.0
full,mmlu/human_aging/10,mmlu,1,2,1,0.00033334,15.58,0.00026944
full,mmlu/human_aging/103,mmlu,1,2,0,0.00100279,53.73,0.00095559
full,mmlu/human_aging/80,mmlu,1,2,0,0.00015459,6.65,0.00013183999999999998
full,mmlu/human_aging/82,mmlu,1,2,0,0.00020646,9.58,0.00016465999999999999
full,mmlu/machine_learning/82,mmlu,2,2,1,2.115e-05,1.06,0.0
full,mmlu/machine_learning/90,mmlu,1,2,1,0.00411317,194.44,0.004079070000000001
full,mmlu/philosophy/143,mmlu,1,3,0,0.0007978400000000001,45.97,0.0005328400000000001
full,mmlu/philosophy/202,mmlu,1,2,1,0.00060122,29.14,0.00056107
full,mmlu/philosophy/82,mmlu,2,2,1,2.0750000000000003e-05,1.69,0.0
full,mmlu/prehistory/196,mmlu,1,3,0,0.00411963,181.17,0.00375713
full,mmlu/prehistory/298,mmlu,1,2,1,0.00035077,16.16,0.00029476999999999997
full,mmlu/world_religions/74,mmlu,1,3,1,0.004109939999999999,193.39,0.0038849399999999995
full,mmlu/world_religions/79,mmlu,1,2,1,0.00411181,179.73,0.004094209999999999
no_semantic,HumanEval/10,humaneval,1,1,1,0.0002773,14.22,0.0
no_semantic,HumanEval/102,humaneval,1,2,1,0.00148371,81.41,0.00136711
no_semantic,HumanEval/113,humaneval,2,2,1,0.00023099999999999998,13.17,0.0
no_semantic,HumanEval/120,humaneval,1,2,0,0.00128999,48.39,0.00116659
no_semantic,HumanEval/127,humaneval,2,1,0,0.00014420000000000004,6.98,-0.00023714999999999994
no_semantic,HumanEval/130,humaneval,1,2,0,0.00414377,200.68,0.00390312
no_semantic,HumanEval/136,humaneval,1,2,1,0.00161769,70.39,0.00152004
no_semantic,HumanEval/138,humaneval,2,2,1,0.0001292,8.64,0.0
no_semantic,HumanEval/146,humaneval,2,2,1,0.0001565,7.9,0.0
no_semantic,HumanEval/147,humaneval,2,2,1,0.000183,11.61,0.0
no_semantic,HumanEval/151,humaneval,1,2,1,0.00155293,91.4,0.00139953
no_semantic,HumanEval/153,humaneval,1,2,1,0.0016614,68.47,0.00155205
no_semantic,HumanEval/154,humaneval,1,2,1,0.00028047,12.7,2.796999999999999e-05
no_semantic,HumanEval/155,humaneval,1,2,1,0.00072653,29.12,0.00065058
no_semantic,HumanEval/157,humaneval,1,2,1,0.00077475,44.94,0.0006662
no_semantic,HumanEval/160,humaneval,1,2,0,0.00413918,190.3,0.00400863
no_semantic,HumanEval/162,humaneval,1,2,1,0.00013609,6.2,8.634e-05
no_semantic,HumanEval/19,humaneval,1,2,1,0.00019156999999999998,7.21,9.116999999999998e-05
no_semantic,HumanEval/2,humaneval,1,2,1,0.0001015,3.69,5.0749999999999994e-05
no_semantic,HumanEval/22,humaneval,1,2,1,0.00017886,7.19,0.00011321
no_semantic,HumanEval/23,humaneval,1,2,1,5.986e-05,5.18,3.156e-05
no_semantic,HumanEval/28,humaneval,1,2,1,6.157999999999999e-05,2.58,3.2979999999999986e-05
no_semantic,HumanEval/32,humaneval,1,2,0,0.00040502,15.12,8.646999999999995e-05
no_semantic,HumanEval/34,humaneval,1,2,1,0.00018997,6.93,0.00014417
no_semantic,HumanEval/39,humaneval,1,2,1,0.00026456,10.63,0.00012780999999999998
no_semantic,HumanEval/48,humaneval,1,2,1,9.088e-05,3.39,4.598e-05
no_semantic,HumanEval/49,humaneval,1,1,1,0.00016028,4.99,0.0
no_semantic,HumanEval/53,humaneval,1,2,1,9.831e-05,3.36,6.570999999999999e-05
no_semantic,HumanEval/56,humaneval,1,2,1,0.0001757,6.16,0.0001015
no_semantic,HumanEval/59,humaneval,1,2,1,0.00021528,8.39,0.00014338000000000003
no_semantic,HumanEval/63,humaneval,1,2,1,0.00024781,8.54,0.00016431
no_semantic,HumanEval/66,humaneval,1,2,1,0.00096395,37.8,0.00086045
no_semantic,HumanEval/67,humaneval,1,2,0,0.00414122,199.25,0.00404677
no_semantic,HumanEval/68,humaneval,1,2,1,0.00128516,45.67,0.00114361
no_semantic,HumanEval/74,humaneval,1,2,1,0.00026995999999999997,9.13,0.00018595999999999996
no_semantic,HumanEval/75,humaneval,1,2,0,0.00411674,175.63,0.0038705399999999996
no_semantic,HumanEval/77,humaneval,1,2,0,0.00412218,202.22,0.00400093
no_semantic,HumanEval/80,humaneval,1,2,1,0.00075037,33.67,0.00068212
no_semantic,HumanEval/83,humaneval,1,2,0,0.00411011,181.54,0.00395651
no_semantic,HumanEval/85,humaneval,1,2,1,0.00104706,43.21,0.0009809600000000001
no_semantic,HumanEval/89,humaneval,1,2,0,0.00412201,171.01,0.00397416
no_semantic,gsm8k/1026,gsm8k,1,2,1,0.0008776200000000001,43.31,0.0007989200000000001
no_semantic,gsm8k/1054,gsm8k,2,2,1,6.705e-05,3.79,0.0
no_semantic,gsm8k/1108,gsm8k,1,2,1,0.00019181,11.77,0.00015371
no_semantic,gsm8k/1115,gsm8k,2,2,1,7.48e-05,5.01,0.0
no_semantic,gsm8k/1170,gsm8k,1,2,1,0.00032486,14.66,0.00021595999999999999
no_semantic,gsm8k/227,gsm8k,2,2,1,9.550000000000002e-05,4.85,0.0
no_semantic,gsm8k/313,gsm8k,1,2,1,0.0013477600000000001,60.94,0.0010524100000000002
no_semantic,gsm8k/33,gsm8k,1,2,1,0.00032106999999999996,14.8,0.00025612
no_semantic,gsm8k/350,gsm8k,1,2,1,0.00028281000000000004,13.63,0.00020821000000000001
no_semantic,gsm8k/453,gsm8k,1,2,1,0.00041181,18.58,0.00034460999999999997
no_semantic,gsm8k/468,gsm8k,1,2,1,0.00032616,13.1,0.00022820999999999996
no_semantic,gsm8k/474,gsm8k,1,2,1,0.00025693,10.36,0.00021208
no_semantic,gsm8k/488,gsm8k,1,2,1,0.00026319,11.89,0.00022034
no_semantic,gsm8k/519,gsm8k,1,2,1,0.00025149,9.51,0.00019024
no_semantic,gsm8k/552,gsm8k,1,2,0,0.00411453,171.65,0.00402693
no_semantic,gsm8k/553,gsm8k,2,2,1,4.35e-05,2.36,0.0
no_semantic,gsm8k/562,gsm8k,1,2,1,0.00187807,92.36,0.0017741699999999998
no_semantic,gsm8k/581,gsm8k,1,2,1,0.00025588,11.8,0.00020633
no_semantic,gsm8k/610,gsm8k,1,2,1,0.00411079,212.65,0.00403479
no_semantic,gsm8k/682,gsm8k,1,2,1,0.0003198,14.55,0.00025195
no_semantic,gsm8k/700,gsm8k,2,2,1,9.94e-05,6.02,0.0
no_semantic,gsm8k/735,gsm8k,1,2,1,0.00039133,18.71,0.00032383
no_semantic,gsm8k/771,gsm8k,2,2,1,5.3750000000000005e-05,2.97,0.0
no_semantic,gsm8k/796,gsm8k,2,2,1,0.00015295,9.02,0.0
no_semantic,gsm8k/829,gsm8k,2,2,1,0.000102,5.47,0.0
no_semantic,mmlu/college_biology/14,mmlu,1,2,1,0.00068249,32.07,0.00058509
no_semantic,mmlu/college_biology/32,mmlu,1,2,1,0.00036722,16.89,0.00029302
no_semantic,mmlu/college_chemistry/12,mmlu,1,3,0,0.0041164,184.6,0.0038064
no_semantic,mmlu/college_chemistry/21,mmlu,2,2,1,5.31e-05,2.53,0.0
no_semantic,mmlu/college_chemistry/27,mmlu,1,2,1,0.00057479,23.48,0.0004973400000000001
no_semantic,mmlu/college_chemistry/5,mmlu,1,3,1,0.004117249999999999,199.09,0.0037872499999999994
no_semantic,mmlu/college_chemistry/87,mmlu,1,2,1,0.00023165000000000002,10.17,0.00018765000000000003
no_semantic,mmlu/global_facts/75,mmlu,1,2,0,0.0041140199999999995,200.61,0.004043369999999999
no_semantic,mmlu/high_school_computer_science/13,mmlu,2,2,1,3.445e-05,1.88,0.0
no_semantic,mmlu/high_school_computer_science/23,mmlu,1,2,1,0.00015385000000000003,7.79,0.00011330000000000002
no_semantic,mmlu/high_school_us_history/23,mmlu,2,2,1,4.8650000000000003e-05,2.48,0.0
no_semantic,mmlu/high_school_us_history/69,mmlu,2,2,1,5.915e-05,2.51,0.0
no_semantic,mmlu/human_aging/10,mmlu,1,2,1,0.00033334,15.58,0.00026944
no_semantic,mmlu/human_aging/103,mmlu,1,2,0,0.00100279,53.73,0.00095559
no_semantic,mmlu/human_aging/80,mmlu,1,2,0,0.00015459,6.65,0.00013183999999999998
no_semantic,mmlu/human_aging/82,mmlu,1,2,0,0.00020646,9.58,0.00016465999999999999
no_semantic,mmlu/machine_learning/82,mmlu,2,2,1,2.115e-05,1.06,0.0
no_semantic,mmlu/machine_learning/90,mmlu,1,2,1,0.00411317,194.44,0.004079070000000001
no_semantic,mmlu/philosophy/143,mmlu,1,3,0,0.0007978400000000001,45.97,0.0005328400000000001
no_semantic,mmlu/philosophy/202,mmlu,1,2,1,0.00060122,29.14,0.00056107
no_semantic,mmlu/philosophy/82,mmlu,2,2,1,2.0750000000000003e-05,1.69,0.0
no_semantic,mmlu/prehistory/196,mmlu,1,3,0,0.00411963,181.17,0.00375713
no_semantic,mmlu/prehistory/298,mmlu,1,2,1,0.00035077,16.16,0.00029476999999999997
no_semantic,mmlu/world_religions/74,mmlu,1,3,1,0.004109939999999999,193.39,0.0038849399999999995
no_semantic,mmlu/world_religions/79,mmlu,1,2,1,0.00411181,179.73,0.004094209999999999
no_complexity,HumanEval/10,humaneval,1,1,1,0.0002773,14.22,0.0
no_complexity,HumanEval/102,humaneval,1,2,1,0.00148371,81.41,0.00136711
no_complexity,HumanEval/113,humaneval,1,2,1,0.00139517,71.69,0.00116417
no_complexity,HumanEval/120,humaneval,1,2,0,0.00128999,48.39,0.00116659
no_complexity,HumanEval/127,humaneval,1,1,1,0.00038134999999999997,14.03,0.0
no_complexity,HumanEval/130,humaneval,1,2,0,0.00414377,200.68,0.00390312
no_complexity,HumanEval/136,humaneval,1,2,1,0.00161769,70.39,0.00152004
no_complexity,HumanEval/138,humaneval,2,2,1,0.0001292,8.64,0.0
no_complexity,HumanEval/146,humaneval,1,2,1,0.00175331,86.54,0.00159681
no_complexity,HumanEval/147,humaneval,1,2,1,0.00066654,27.76,0.00048353999999999997
no_complexity,HumanEval/151,humaneval,1,2,1,0.00155293,91.4,0.00139953
no_complexity,HumanEval/153,humaneval,1,2,1,0.0016614,68.47,0.00155205
no_complexity,HumanEval/154,humaneval,1,2,1,0.00028047,12.7,2.796999999999999e-05
no_complexity,HumanEval/155,humaneval,1,2,1,0.00072653,29.12,0.00065058
no_complexity,HumanEval/157,humaneval,1,2,1,0.00077475,44.94,0.0006662
no_complexity,HumanEval/160,humaneval,1,2,0,0.00413918,190.3,0.00400863
no_complexity,HumanEval/162,humaneval,1,2,1,0.00013609,6.2,8.634e-05
no_complexity,HumanEval/19,humaneval,1,2,1,0.00019156999999999998,7.21,9.116999999999998e-05
no_complexity,HumanEval/2,humaneval,1,2,1,0.0001015,3.69,5.0749999999999994e-05
no_complexity,HumanEval/22,humaneval,1,2,1,0.00017886,7.19,0.00011321
no_complexity,HumanEval/23,humaneval,1,2,1,5.986e-05,5.18,3.156e-05
no_complexity,HumanEval/28,humaneval,1,2,1,6.157999999999999e-05,2.58,3.2979999999999986e-05
no_complexity,HumanEval/32,humaneval,1,2,0,0.00040502,15.12,8.646999999999995e-05
no_complexity,HumanEval/34,humaneval,1,2,1,0.00018997,6.93,0.00014417
no_complexity,HumanEval/39,humaneval,1,2,1,0.00026456,10.63,0.00012780999999999998
no_complexity,HumanEval/48,humaneval,1,2,1,9.088e-05,3.39,4.598e-05
no_complexity,HumanEval/49,humaneval,1,1,1,0.00016028,4.99,0.0
no_complexity,HumanEval/53,humaneval,1,2,1,9.831e-05,3.36,6.570999999999999e-05
no_complexity,HumanEval/56,humaneval,1,2,1,0.0001757,6.16,0.0001015
no_complexity,HumanEval/59,humaneval,1,2,1,0.00021528,8.39,0.00014338000000000003
no_complexity,HumanEval/63,humaneval,1,2,1,0.00024781,8.54,0.00016431
no_complexity,HumanEval/66,humaneval,1,2,1,0.00096395,37.8,0.00086045
no_complexity,HumanEval/67,humaneval,1,2,0,0.00414122,199.25,0.00404677
no_complexity,HumanEval/68,humaneval,1,2,1,0.00128516,45.67,0.00114361
no_complexity,HumanEval/74,humaneval,1,2,1,0.00026995999999999997,9.13,0.00018595999999999996
no_complexity,HumanEval/75,humaneval,1,2,0,0.00411674,175.63,0.0038705399999999996
no_complexity,HumanEval/77,humaneval,1,2,0,0.00412218,202.22,0.00400093
no_complexity,HumanEval/80,humaneval,1,2,1,0.00075037,33.67,0.00068212
no_complexity,HumanEval/83,humaneval,1,2,0,0.00411011,181.54,0.00395651
no_complexity,HumanEval/85,humaneval,1,2,1,0.00104706,43.21,0.0009809600000000001
no_complexity,HumanEval/89,humaneval,1,2,0,0.00412201,171.01,0.00397416
no_complexity,gsm8k/1026,gsm8k,1,2,1,0.0008776200000000001,43.31,0.0007989200000000001
no_complexity,gsm8k/1054,gsm8k,1,2,1,0.00041765,18.9,0.00035059999999999996
no_complexity,gsm8k/1108,gsm8k,1,2,1,0.00019181,11.77,0.00015371
no_complexity,gsm8k/1115,gsm8k,1,2,1,0.00070902,34.37,0.00063422
no_complexity,gsm8k/1170,gsm8k,1,2,1,0.00032486,14.66,0.00021595999999999999
no_complexity,gsm8k/227,gsm8k,1,2,1,0.0005970999999999999,25.09,0.0005015999999999999
no_complexity,gsm8k/313,gsm8k,1,2,1,0.0013477600000000001,60.94,0.0010524100000000002
no_complexity,gsm8k/33,gsm8k,1,2,1,0.00032106999999999996,14.8,0.00025612
no_complexity,gsm8k/350,gsm8k,1,2,1,0.00028281000000000004,13.63,0.00020821000000000001
no_complexity,gsm8k/453,gsm8k,1,2,1,0.00041181,18.58,0.00034460999999999997
no_complexity,gsm8k/468,gsm8k,1,2,1,0.00032616,13.1,0.00022820999999999996
no_complexity,gsm8k/474,gsm8k,1,2,1,0.00025693,10.36,0.00021208
no_complexity,gsm8k/488,gsm8k,1,2,1,0.00026319,11.89,0.00022034
no_complexity,gsm8k/519,gsm8k,1,2,1,0.00025149,9.51,0.00019024
no_complexity,gsm8k/552,gsm8k,1,2,0,0.00411453,171.65,0.00402693
no_complexity,gsm8k/553,gsm8k,1,2,1,0.00024620999999999996,10.06,0.00020270999999999996
no_complexity,gsm8k/562,gsm8k,1,2,1,0.00187807,92.36,0.0017741699999999998
no_complexity,gsm8k/581,gsm8k,1,2,1,0.00025588,11.8,0.00020633
no_complexity,gsm8k/610,gsm8k,1,2,1,0.00411079,212.65,0.00403479
no_complexity,gsm8k/682,gsm8k,1,2,1,0.0003198,14.55,0.00025195
no_complexity,gsm8k/700,gsm8k,1,2,1,0.00036474,15.59,0.00026534
no_complexity,gsm8k/735,gsm8k,1,2,1,0.00039133,18.71,0.00032383
no_complexity,gsm8k/771,gsm8k,1,2,1,0.00023192,8.81,0.00017816999999999998
no_complexity,gsm8k/796,gsm8k,1,2,1,0.00134876,62.89,0.00119581
no_complexity,gsm8k/829,gsm8k,1,2,1,0.00050606,20.3,0.00040406000000000003
no_complexity,mmlu/college_biology/14,mmlu,1,2,1,0.00068249,32.07,0.00058509
no_complexity,mmlu/college_biology/32,mmlu,1,2,1,0.00036722,16.89,0.00029302
no_complexity,mmlu/college_chemistry/12,mmlu,1,3,0,0.0041164,184.6,0.0038064
no_complexity,mmlu/college_chemistry/21,mmlu,1,2,1,0.00101287,43.16,0.0009597699999999999
no_complexity,mmlu/college_chemistry/27,mmlu,1,2,1,0.00057479,23.48,0.0004973400000000001
no_complexity,mmlu/college_chemistry/5,mmlu,1,3,1,0.004117249999999999,199.09,0.0037872499999999994
no_complexity,mmlu/college_chemistry/87,mmlu,1,2,1,0.00023165000000000002,10.17,0.00018765000000000003
no_complexity,mmlu/global_facts/75,mmlu,1,2,0,0.0041140199999999995,200.61,0.004043369999999999
no_complexity,mmlu/high_school_computer_science/13,mmlu,2,2,1,3.445e-05,1.88,0.0
no_complexity,mmlu/high_school_computer_science/23,mmlu,1,2,1,0.00015385000000000003,7.79,0.00011330000000000002
no_complexity,mmlu/high_school_us_history/23,mmlu,2,2,1,4.8650000000000003e-05,2.48,0.0
no_complexity,mmlu/high_school_us_history/69,mmlu,1,2,1,0.00020957000000000001,7.44,0.00015042
no_complexity,mmlu/human_aging/10,mmlu,1,2,1,0.00033334,15.58,0.00026944
no_complexity,mmlu/human_aging/103,mmlu,1,2,0,0.00100279,53.73,0.00095559
no_complexity,mmlu/human_aging/80,mmlu,1,2,0,0.00015459,6.65,0.00013183999999999998
no_complexity,mmlu/human_aging/82,mmlu,1,2,0,0.00020646,9.58,0.00016465999999999999
no_complexity,mmlu/machine_learning/82,mmlu,1,2,1,0.00015325,6.37,0.0001321
no_complexity,mmlu/machine_learning/90,mmlu,1,2,1,0.00411317,194.44,0.004079070000000001
no_complexity,mmlu/philosophy/143,mmlu,1,3,0,0.0007978400000000001,45.97,0.0005328400000000001
no_complexity,mmlu/philosophy/202,mmlu,1,2,1,0.00060122,29.14,0.00056107
no_complexity,mmlu/philosophy/82,mmlu,1,2,1,0.00411164,194.63,0.00409089
no_complexity,mmlu/prehistory/196,mmlu,1,3,0,0.00411963,181.17,0.00375713
no_complexity,mmlu/prehistory/298,mmlu,1,2,1,0.00035077,16.16,0.00029476999999999997
no_complexity,mmlu/world_religions/74,mmlu,1,3,1,0.004109939999999999,193.39,0.0038849399999999995
no_complexity,mmlu/world_religions/79,mmlu,1,2,1,0.00411181,179.73,0.004094209999999999
no_length,HumanEval/10,humaneval,1,1,1,0.0002773,14.22,0.0
no_length,HumanEval/102,humaneval,1,2,1,0.00148371,81.41,0.00136711
no_length,HumanEval/113,humaneval,2,2,1,0.00023099999999999998,13.17,0.0
no_length,HumanEval/120,humaneval,1,2,0,0.00128999,48.39,0.00116659
no_length,HumanEval/127,humaneval,2,1,0,0.00014420000000000004,6.98,-0.00023714999999999994
no_length,HumanEval/130,humaneval,1,2,0,0.00414377,200.68,0.00390312
no_length,HumanEval/136,humaneval,1,2,1,0.00161769,70.39,0.00152004
no_length,HumanEval/138,humaneval,2,2,1,0.0001292,8.64,0.0
no_length,HumanEval/146,humaneval,2,2,1,0.0001565,7.9,0.0
no_length,HumanEval/147,humaneval,2,2,1,0.000183,11.61,0.0
no_length,HumanEval/151,humaneval,1,2,1,0.00155293,91.4,0.00139953
no_length,HumanEval/153,humaneval,1,2,1,0.0016614,68.47,0.00155205
no_length,HumanEval/154,humaneval,1,2,1,0.00028047,12.7,2.796999999999999e-05
no_length,HumanEval/155,humaneval,1,2,1,0.00072653,29.12,0.00065058
no_length,HumanEval/157,humaneval,1,2,1,0.00077475,44.94,0.0006662
no_length,HumanEval/160,humaneval,1,2,0,0.00413918,190.3,0.00400863
no_length,HumanEval/162,humaneval,1,2,1,0.00013609,6.2,8.634e-05
no_length,HumanEval/19,humaneval,1,2,1,0.00019156999999999998,7.21,9.116999999999998e-05
no_length,HumanEval/2,humaneval,1,2,1,0.0001015,3.69,5.0749999999999994e-05
no_length,HumanEval/22,humaneval,1,2,1,0.00017886,7.19,0.00011321
no_length,HumanEval/23,humaneval,1,2,1,5.986e-05,5.18,3.156e-05
no_length,HumanEval/28,humaneval,1,2,1,6.157999999999999e-05,2.58,3.2979999999999986e-05
no_length,HumanEval/32,humaneval,1,2,0,0.00040502,15.12,8.646999999999995e-05
no_length,HumanEval/34,humaneval,1,2,1,0.00018997,6.93,0.00014417
no_length,HumanEval/39,humaneval,1,2,1,0.00026456,10.63,0.00012780999999999998
no_length,HumanEval/48,humaneval,1,2,1,9.088e-05,3.39,4.598e-05
no_length,HumanEval/49,humaneval,1,1,1,0.00016028,4.99,0.0
no_length,HumanEval/53,humaneval,1,2,1,9.831e-05,3.36,6.570999999999999e-05
no_length,HumanEval/56,humaneval,1,2,1,0.0001757,6.16,0.0001015
no_length,HumanEval/59,humaneval,1,2,1,0.00021528,8.39,0.00014338000000000003
no_length,HumanEval/63,humaneval,1,2,1,0.00024781,8.54,0.00016431
no_length,HumanEval/66,humaneval,1,2,1,0.00096395,37.8,0.00086045
no_length,HumanEval/67,humaneval,1,2,0,0.00414122,199.25,0.00404677
no_length,HumanEval/68,humaneval,1,2,1,0.00128516,45.67,0.00114361
no_length,HumanEval/74,humaneval,1,2,1,0.00026995999999999997,9.13,0.00018595999999999996
no_length,HumanEval/75,humaneval,1,2,0,0.00411674,175.63,0.0038705399999999996
no_length,HumanEval/77,humaneval,1,2,0,0.00412218,202.22,0.00400093
no_length,HumanEval/80,humaneval,1,2,1,0.00075037,33.67,0.00068212
no_length,HumanEval/83,humaneval,1,2,0,0.00411011,181.54,0.00395651
no_length,HumanEval/85,humaneval,1,2,1,0.00104706,43.21,0.0009809600000000001
no_length,HumanEval/89,humaneval,1,2,0,0.00412201,171.01,0.00397416
no_length,gsm8k/1026,gsm8k,1,2,1,0.0008776200000000001,43.31,0.0007989200000000001
no_length,gsm8k/1054,gsm8k,2,2,1,6.705e-05,3.79,0.0
no_length,gsm8k/1108,gsm8k,1,2,1,0.00019181,11.77,0.00015371
no_length,gsm8k/1115,gsm8k,2,2,1,7.48e-05,5.01,0.0
no_length,gsm8k/1170,gsm8k,1,2,1,0.00032486,14.66,0.00021595999999999999
no_length,gsm8k/227,gsm8k,2,2,1,9.550000000000002e-05,4.85,0.0
no_length,gsm8k/313,gsm8k,1,2,1,0.0013477600000000001,60.94,0.0010524100000000002
no_length,gsm8k/33,gsm8k,1,2,1,0.00032106999999999996,14.8,0.00025612
