policy,query_id,tier,latency_s,usd,correct,completion_tokens
ecologic,gsm8k/454,2,1.8,3.96e-05,0,168
ecologic,gsm8k/468,1,13.1,0.00032616,1,1238
ecologic,gsm8k/474,1,10.36,0.00025693,1,974
ecologic,gsm8k/481,1,24.41,0.00054654,1,2110
ecologic,gsm8k/488,1,11.89,0.00026319,1,997
ecologic,gsm8k/491,2,3.31,5.555e-05,1,244
ecologic,gsm8k/50,1,192.41,0.00410909,1,16384
ecologic,gsm8k/519,1,9.51,0.00025149,1,957
ecologic,gsm8k/552,1,171.65,0.00411453,0,16384
ecologic,gsm8k/553,2,2.36,4.35e-05,1,176
ecologic,gsm8k/562,1,92.36,0.00187807,1,7430
ecologic,gsm8k/578,1,22.39,0.00052147,1,2024
ecologic,gsm8k/581,1,11.8,0.00025588,1,963
ecologic,gsm8k/583,1,59.02,0.00120059,1,4733
ecologic,gsm8k/60,1,16.48,0.00042276,1,1638
ecologic,gsm8k/61,1,260.97,0.00411334,1,16384
ecologic,gsm8k/610,1,212.65,0.00411079,1,16384
ecologic,gsm8k/612,2,3.05,6.19e-05,1,266
ecologic,gsm8k/643,1,13.33,0.00031574,1,1197
ecologic,gsm8k/645,2,5.78,0.0001116,1,525
ecologic,gsm8k/682,1,14.55,0.0003198,1,1201
ecologic,gsm8k/700,2,6.02,9.94e-05,1,454
ecologic,gsm8k/726,1,14.58,0.00032321,1,1216
ecologic,gsm8k/735,1,18.71,0.00039133,1,1498
ecologic,gsm8k/771,2,2.97,5.3750000000000005e-05,1,231
ecologic,gsm8k/796,2,9.02,0.00015295,1,727
ecologic,gsm8k/801,2,4.04,7.355e-05,1,329
ecologic,gsm8k/81,1,12.82,0.00023583000000000002,1,876
ecologic,gsm8k/812,2,6.14,0.0001148,1,521
ecologic,gsm8k/813,2,3.63,7.16e-05,1,313
ecologic,gsm8k/823,2,3.79,7.225000000000001e-05,0,313
ecologic,gsm8k/827,1,23.3,0.000543,1,2087
ecologic,gsm8k/829,2,5.47,0.000102,1,468
ecologic,gsm8k/863,1,13.54,0.00027251,1,1037
ecologic,gsm8k/878,1,10.35,0.00021588,1,803
ecologic,gsm8k/885,1,9.76,0.00022698,1,844
ecologic,gsm8k/891,1,24.25,0.00049583,1,1916
ecologic,gsm8k/919,2,4.35,7.655e-05,1,339
ecologic,gsm8k/94,1,20.59,0.00036572,1,1401
ecologic,gsm8k/971,1,11.85,0.00026388000000000003,1,995
ecologic,gsm8k/985,1,7.98,0.00017791,1,662
ecologic,gsm8k/999,2,4.71,7.785e-05,1,354
ecologic,HumanEval/0,2,6.3,0.00011820000000000001,1,537
ecologic,HumanEval/1,2,6.62,0.00012450000000000002,1,571
ecologic,HumanEval/10,1,14.22,0.0002773,1,980
ecologic,HumanEval/100,2,9.9,0.00013475,1,618
ecologic,HumanEval/101,1,6.7,0.00016411,1,549
ecologic,HumanEval/102,1,81.41,0.00148371,1,5841
ecologic,HumanEval/103,1,29.03,0.00077131,1,2954
ecologic,HumanEval/104,1,48.08,0.0009487800000000001,1,3687
ecologic,HumanEval/105,2,8.84,0.00016295000000000003,1,723
ecologic,HumanEval/106,1,57.86,0.00152473,1,5984
ecologic,HumanEval/107,1,182.11,0.00414071,0,16384
ecologic,HumanEval/108,1,10.88,0.00027423,0,982
ecologic,HumanEval/109,1,161.12,0.0041544799999999995,0,16384
ecologic,HumanEval/11,1,6.99,0.00018641000000000003,1,662
ecologic,HumanEval/110,1,108.58,0.00245956,1,9673
ecologic,HumanEval/111,1,211.47,0.00412932,0,16384
ecologic,HumanEval/112,1,56.07,0.0012756,1,4963
ecologic,HumanEval/113,2,13.17,0.00023099999999999998,1,1089
ecologic,HumanEval/114,1,67.8,0.00130484,1,5133
ecologic,HumanEval/115,2,5.33,0.00012890000000000002,1,541
ecologic,HumanEval/116,1,166.58,0.00413238,0,16384
ecologic,HumanEval/117,1,81.7,0.00140784,1,5477
ecologic,HumanEval/118,1,12.5,0.00031831000000000003,1,1142
ecologic,HumanEval/119,2,4.94,0.0001044,1,458
ecologic,HumanEval/12,1,5.09,0.0001364,1,447
ecologic,HumanEval/120,1,48.39,0.00128999,0,4975
ecologic,HumanEval/121,1,50.58,0.00088522,1,3445
ecologic,HumanEval/122,1,39.88,0.00104368,1,4053
ecologic,HumanEval/123,2,8.47,0.00017760000000000003,1,807
ecologic,HumanEval/124,1,21.17,0.00042277000000000005,1,1466
ecologic,HumanEval/125,1,6.42,0.00017427,1,574
ecologic,HumanEval/126,1,230.3,0.00414496,0,16384
ecologic,HumanEval/127,2,6.98,0.00014420000000000004,0,635
ecologic,HumanEval/128,2,9.79,0.00016544999999999998,1,774
ecologic,HumanEval/129,2,16.38,0.00027155,1,1236
ecologic,HumanEval/13,1,5.0,0.00014487000000000001,1,504
ecologic,HumanEval/130,1,200.68,0.00414377,0,16384
ecologic,HumanEval/131,1,54.51,0.00104238,1,4092
ecologic,HumanEval/132,1,46.93,0.0010876599999999998,1,4233
ecologic,HumanEval/133,2,6.33,0.000112,1,498
ecologic,HumanEval/134,1,26.01,0.0006887600000000001,1,2634
ecologic,HumanEval/135,1,49.64,0.00096114,1,3748
ecologic,HumanEval/136,1,70.39,0.00161769,1,6347
ecologic,HumanEval/137,1,7.35,0.00018628,1,620
ecologic,HumanEval/138,2,8.64,0.0001292,1,604
ecologic,HumanEval/139,1,11.01,0.00025088,1,909
ecologic,HumanEval/14,1,4.9,0.00013316,1,466
ecologic,HumanEval/140,1,69.46,0.00135466,1,5318
ecologic,HumanEval/141,1,77.36,0.00156128,1,6069
ecologic,HumanEval/142,1,77.36,0.00174745,1,6847
ecologic,HumanEval/143,1,66.95,0.0013478300000000002,1,5256
ecologic,HumanEval/144,2,4.49,8.77e-05,1,377
ecologic,HumanEval/145,1,185.37,0.00412405,0,16384
ecologic,HumanEval/146,2,7.9,0.0001565,1,730
ecologic,HumanEval/147,2,11.61,0.000183,1,851
ecologic,HumanEval/148,1,8.33,0.00019201,1,596
ecologic,HumanEval/149,2,6.26,0.0001229,1,545
ecologic,HumanEval/15,1,15.19,0.00044945,1,1723
ecologic,HumanEval/150,1,36.65,0.00083793,1,3264
ecologic,HumanEval/151,1,91.4,0.00155293,1,6090
ecologic,HumanEval/152,2,1.63,5.365e-05,1,188
ecologic,HumanEval/153,1,68.47,0.0016614,1,6428
ecologic,HumanEval/154,1,12.7,0.00028047,1,1009
ecologic,HumanEval/155,1,29.12,0.00072653,1,2832
ecologic,HumanEval/156,1,9.47,0.00022934000000000002,1,814
ecologic,HumanEval/157,1,44.94,0.00077475,1,2997
ecologic,HumanEval/158,1,11.78,0.00021995,1,771
ecologic,HumanEval/159,1,61.65,0.00148856,1,5721
ecologic,HumanEval/16,1,4.19,9.703e-05,1,314
ecologic,HumanEval/160,1,190.3,0.00413918,0,16384
ecologic,HumanEval/161,3,0.57,0.000835,1,49
ecologic,HumanEval/162,1,6.2,0.00013609,1,458
ecologic,HumanEval/163,1,182.89,0.0041213299999999994,0,16384
ecologic,HumanEval/17,2,4.89,0.00010025000000000001,1,436
ecologic,HumanEval/18,1,6.82,0.00019343,1,686
ecologic,HumanEval/19,1,7.21,0.00019156999999999998,1,667
ecologic,HumanEval/2,1,3.69,0.0001015,1,321
ecologic,HumanEval/20,2,6.19,0.00012475,1,559
ecologic,HumanEval/21,1,10.27,0.00024105,1,852
ecologic,HumanEval/22,1,7.19,0.00017886,1,625
ecologic,HumanEval/23,1,5.18,5.986e-05,1,183
ecologic,HumanEval/24,1,8.8,0.00020897,1,774
ecologic,HumanEval/25,2,5.31,0.00010025,1,447
ecologic,HumanEval/26,1,5.59,0.00018175,1,642
ecologic,HumanEval/27,1,3.69,7.879e-05,1,256
ecologic,HumanEval/28,1,2.58,6.157999999999999e-05,1,179
ecologic,HumanEval/29,1,3.94,9.718e-05,1,301
ecologic,HumanEval/3,1,4.45,0.00014778,1,483
ecologic,HumanEval/30,1,30.12,0.0007774500000000001,1,3001
ecologic,HumanEval/31,1,6.37,0.00019567,1,680
ecologic,HumanEval/32,1,15.12,0.00040502,0,1412
ecologic,HumanEval/33,1,8.96,0.00025839,1,903
ecologic,HumanEval/34,1,6.93,0.00018997,1,681
ecologic,HumanEval/35,1,2.89,9.609e-05,1,298
ecologic,HumanEval/36,1,20.67,0.0005125,1,1965
ecologic,HumanEval/37,1,9.39,0.00023755,1,838
ecologic,HumanEval/38,2,4.47,8.810000000000001e-05,0,378
ecologic,HumanEval/39,1,10.63,0.00026456,1,961
ecologic,HumanEval/4,2,3.81,7.065e-05,1,301
ecologic,HumanEval/40,1,7.71,0.00023517999999999998,1,802
ecologic,HumanEval/41,2,11.45,0.0002036,1,958
ecologic,HumanEval/42,1,12.83,0.00033635,1,1240
ecologic,HumanEval/43,1,8.49,0.00025109000000000004,1,867
ecologic,HumanEval/44,1,9.71,0.00024155999999999998,1,869
ecologic,HumanEval/45,1,3.22,8.42e-05,1,279
ecologic,HumanEval/46,1,11.84,0.00033105,1,1178
ecologic,HumanEval/47,1,10.23,0.00027282,1,1009
ecologic,HumanEval/48,1,3.39,9.088e-05,1,286
ecologic,HumanEval/49,1,4.99,0.00016028,1,533
ecologic,HumanEval/5,1,3.73,0.00011578,1,372
ecologic,HumanEval/50,1,4.78,0.00011570000000000001,0,371
ecologic,HumanEval/51,1,5.89,0.00017508,1,582
ecologic,HumanEval/52,1,3.13,0.00010033000000000001,1,317
ecologic,HumanEval/53,1,3.36,9.831e-05,1,330
ecologic,HumanEval/54,1,10.82,0.00026895,1,950
ecologic,HumanEval/55,1,7.41,0.00019482,1,714
ecologic,HumanEval/56,1,6.16,0.0001757,1,611
ecologic,HumanEval/57,1,6.74,0.00018144,1,636
ecologic,HumanEval/58,1,7.22,0.00019755,1,678
ecologic,HumanEval/59,1,8.39,0.00021528,1,787
ecologic,HumanEval/6,2,3.94,7.925e-05,1,346
ecologic,HumanEval/60,1,5.16,0.00016549,1,562
ecologic,HumanEval/61,1,5.09,0.00014228,1,478
ecologic,HumanEval/62,1,8.8,0.00022526,1,797
ecologic,HumanEval/63,1,8.54,0.00024781,1,860
ecologic,HumanEval/64,3,1.03,0.00202,1,163
ecologic,HumanEval/65,1,221.03,0.00411793,0,16384
ecologic,HumanEval/66,1,37.8,0.00096395,1,3747
ecologic,HumanEval/67,1,199.25,0.00414122,0,16384
ecologic,HumanEval/68,1,45.67,0.00128516,1,4887
ecologic,HumanEval/69,1,6.44,0.00019777,1,651
ecologic,HumanEval/7,1,3.2,9.603000000000001e-05,1,293
ecologic,HumanEval/70,1,36.47,0.00101023,1,3926
ecologic,HumanEval/71,1,48.67,0.00123621,1,4834
ecologic,HumanEval/72,1,22.08,0.0005305,1,1935
ecologic,HumanEval/73,1,34.79,0.00087674,1,3373
ecologic,HumanEval/74,1,9.13,0.00026995999999999997,1,918
ecologic,HumanEval/75,1,175.63,0.00411674,0,16384
ecologic,HumanEval/76,1,224.04,0.00412677,0,16384
ecologic,HumanEval/77,1,202.22,0.00412218,0,16384
ecologic,HumanEval/78,1,29.88,0.0008324599999999999,1,3083
ecologic,HumanEval/79,2,4.56,7.950000000000001e-05,1,340
ecologic,HumanEval/8,1,5.23,0.00012677,1,401
ecologic,HumanEval/80,1,33.67,0.00075037,1,2892
ecologic,HumanEval/81,2,13.99,0.00023045000000000002,1,1062
ecologic,HumanEval/82,1,75.83,0.00180956,1,7158
ecologic,HumanEval/83,1,181.54,0.00411011,0,16384
ecologic,HumanEval/84,1,22.47,0.00058797,1,2222
ecologic,HumanEval/85,1,43.21,0.00104706,1,4125
ecologic,HumanEval/86,1,53.78,0.001292,1,5049
ecologic,HumanEval/87,2,6.13,0.00010970000000000001,1,461
ecologic,HumanEval/88,1,39.07,0.0010576700000000001,1,4060
ecologic,HumanEval/89,1,171.01,0.00412201,0,16384
ecologic,HumanEval/9,1,5.29,0.00015580000000000002,1,528
ecologic,HumanEval/90,1,59.01,0.0013388,1,5243
ecologic,HumanEval/91,1,192.12,0.0041215,0,16384
ecologic,HumanEval/92,1,7.6,0.00021017,1,721
ecologic,HumanEval/93,1,13.0,0.00030659000000000003,1,1123
ecologic,HumanEval/94,1,14.25,0.00037664,1,1257
ecologic,HumanEval/95,1,12.16,0.00030723,1,1080
ecologic,HumanEval/96,1,62.28,0.00156025,1,6105
ecologic,HumanEval/97,1,57.95,0.00120944,1,4731
ecologic,HumanEval/98,1,19.4,0.00047454,1,1822
ecologic,HumanEval/99,1,179.68,0.00413119,0,16384
ecologic,mmlu/college_biology/1,1,6.68,0.00012711,1,418
ecologic,mmlu/college_biology/10,1,6.56,0.00014657,1,521
ecologic,mmlu/college_biology/14,1,32.07,0.00068249,1,2579
ecologic,mmlu/college_biology/32,1,16.89,0.00036722,1,1373
ecologic,mmlu/college_biology/53,1,88.83,0.0019972500000000003,1,7853
ecologic,mmlu/college_biology/55,1,14.23,0.00035485000000000003,1,1280
ecologic,mmlu/college_biology/57,2,2.63,5.4850000000000005e-05,1,202
ecologic,mmlu/college_biology/58,1,30.34,0.00063681,1,2484
ecologic,mmlu/college_biology/76,1,5.37,0.00012306,1,429
ecologic,mmlu/college_biology/9,1,7.57,0.00020156,1,726
ecologic,mmlu/college_chemistry/12,1,184.6,0.0041164,0,16384
ecologic,mmlu/college_chemistry/21,2,2.53,5.31e-05,1,220
ecologic,mmlu/college_chemistry/27,1,23.48,0.00057479,1,2189
ecologic,mmlu/college_chemistry/42,1,14.69,0.00035142999999999996,1,1352
ecologic,mmlu/college_chemistry/5,1,199.09,0.004117249999999999,1,16384
ecologic,mmlu/college_chemistry/74,1,4.66,0.00012019,1,408
ecologic,mmlu/college_chemistry/75,1,25.55,0.00047691,1,1790
ecologic,mmlu/college_chemistry/82,1,15.91,0.00039001,0,1473
ecologic,mmlu/college_chemistry/84,1,17.15,0.00031811999999999997,1,1197
ecologic,mmlu/college_chemistry/87,1,10.17,0.00023165000000000002,1,862
ecologic,mmlu/global_facts/15,1,34.86,0.0008084100000000001,0,3167
ecologic,mmlu/global_facts/37,1,30.23,0.00067749,0,2627
ecologic,mmlu/global_facts/50,1,26.19,0.00058432,1,2272
ecologic,mmlu/global_facts/54,1,195.83,0.00411283,0,16384
ecologic,mmlu/global_facts/6,1,32.76,0.00058,1,2252
ecologic,mmlu/global_facts/75,1,200.61,0.0041140199999999995,0,16384
ecologic,mmlu/global_facts/80,1,34.67,0.00058555,0,2247
ecologic,mmlu/global_facts/85,2,3.86,7.58e-05,1,341
ecologic,mmlu/global_facts/93,1,30.97,0.00071125,0,2777
ecologic,mmlu/global_facts/96,1,17.62,0.00036978,1,1388
ecologic,mmlu/high_school_computer_science/13,2,1.88,3.445e-05,1,113
ecologic,mmlu/high_school_computer_science/23,1,7.79,0.00015385000000000003,1,510
ecologic,mmlu/high_school_computer_science/3,2,1.54,4.1450000000000005e-05,1,126
ecologic,mmlu/high_school_computer_science/4,1,8.04,0.00015878,1,544
ecologic,mmlu/high_school_computer_science/49,1,13.51,0.00028378999999999996,1,1076
ecologic,mmlu/high_school_computer_science/6,2,3.29,6.0650000000000004e-05,1,236
ecologic,mmlu/high_school_computer_science/65,1,14.3,0.0002741,1,1042
ecologic,mmlu/high_school_computer_science/67,1,11.79,0.00029878,1,1036
ecologic,mmlu/high_school_computer_science/72,1,5.68,0.00011905000000000001,1,415
ecologic,mmlu/high_school_computer_science/92,1,8.17,0.00018493,1,652
ecologic,mmlu/high_school_us_history/108,1,6.27,0.00018126,1,536
ecologic,mmlu/high_school_us_history/131,1,9.04,0.00020593,1,668
ecologic,mmlu/high_school_us_history/141,2,7.74,0.0001581,0,681
ecologic,mmlu/high_school_us_history/142,1,12.39,0.00026239000000000004,1,800
ecologic,mmlu/high_school_us_history/151,1,9.05,0.00020748,1,596
ecologic,mmlu/high_school_us_history/16,2,3.5,7.01e-05,1,240
ecologic,mmlu/high_school_us_history/23,2,2.48,4.8650000000000003e-05,1,163
ecologic,mmlu/high_school_us_history/51,2,1.81,4.2350000000000006e-05,1,132
ecologic,mmlu/high_school_us_history/52,2,1.55,4.565e-05,1,128
ecologic,mmlu/high_school_us_history/69,2,2.51,5.915e-05,1,197
ecologic,mmlu/human_aging/10,1,15.58,0.00033334,1,1264
ecologic,mmlu/human_aging/103,1,53.73,0.00100279,0,3935
ecologic,mmlu/human_aging/141,1,16.41,0.00037088,1,1423
ecologic,mmlu/human_aging/187,1,4.36,0.00010721,1,352
ecologic,mmlu/human_aging/190,1,9.09,0.00016798,1,608
ecologic,mmlu/human_aging/197,1,4.59,0.00011213,1,388
ecologic,mmlu/human_aging/221,1,7.9,0.00016858,1,607
ecologic,mmlu/human_aging/58,1,4.33,0.00011276999999999999,1,396
ecologic,mmlu/human_aging/80,1,6.65,0.00015459,0,566
ecologic,mmlu/human_aging/82,1,9.58,0.00020646,0,766
ecologic,mmlu/machine_learning/12,2,1.74,3.88e-05,1,152
ecologic,mmlu/machine_learning/22,1,41.19,0.00089352,1,3502
ecologic,mmlu/machine_learning/26,1,79.2,0.0015703599999999998,0,6225
ecologic,mmlu/machine_learning/33,1,45.02,0.0007721799999999999,1,3018
ecologic,mmlu/machine_learning/4,1,21.26,0.0004553,1,1760
ecologic,mmlu/machine_learning/50,1,22.03,0.00048816,1,1886
ecologic,mmlu/machine_learning/65,1,5.92,0.00014222,1,490
ecologic,mmlu/machine_learning/66,1,28.88,0.00057221,1,2144
ecologic,mmlu/machine_learning/82,2,1.06,2.115e-05,1,61
ecologic,mmlu/machine_learning/90,1,194.44,0.00411317,1,16384
ecologic,mmlu/philosophy/143,1,45.97,0.0007978400000000001,0,3122
ecologic,mmlu/philosophy/202,1,29.14,0.00060122,1,2343
ecologic,mmlu/philosophy/224,1,8.09,0.00015767,1,562
ecologic,mmlu/philosophy/245,1,27.98,0.0006243900000000001,1,2435
ecologic,mmlu/philosophy/249,1,52.98,0.00114468,1,4508
ecologic,mmlu/philosophy/254,1,10.9,0.00023479000000000002,1,880
ecologic,mmlu/philosophy/256,1,12.13,0.00028047,1,1060
ecologic,mmlu/philosophy/269,1,56.12,0.00120346,0,4737
ecologic,mmlu/philosophy/305,1,10.86,0.00018904000000000002,1,680
ecologic,mmlu/philosophy/82,2,1.69,2.0750000000000003e-05,1,68
ecologic,mmlu/prehistory/10,1,57.61,0.00105655,1,4131
ecologic,mmlu/prehistory/13,1,18.77,0.00034395,1,1318
ecologic,mmlu/prehistory/194,1,18.01,0.00032721,1,1249
ecologic,mmlu/prehistory/195,2,6.54,0.00010025000000000001,1,437
ecologic,mmlu/prehistory/196,1,181.17,0.00411963,0,16384
ecologic,mmlu/prehistory/203,1,22.56,0.00048097,1,1828
ecologic,mmlu/prehistory/284,1,7.24,0.00012981,1,422
ecologic,mmlu/prehistory/298,1,16.16,0.00035077,1,1331
ecologic,mmlu/prehistory/40,1,181.95,0.00411317,1,16384
ecologic,mmlu/prehistory/46,2,4.61,7.455e-05,1,329
ecologic,mmlu/world_religions/104,1,34.98,0.0006541800000000001,0,2563
ecologic,mmlu/world_religions/118,1,15.89,0.0003776,1,1456
ecologic,mmlu/world_religions/145,1,14.92,0.00030114,1,1142
ecologic,mmlu/world_religions/146,1,47.58,0.00097976,1,3866
ecologic,mmlu/world_religions/162,1,196.97,0.00411045,1,16384
ecologic,mmlu/world_religions/165,1,6.95,0.00018011,1,664
ecologic,mmlu/world_religions/169,1,7.63,0.00015304,1,553
ecologic,mmlu/world_religions/48,2,2.39,4.8450000000000005e-05,1,207
ecologic,mmlu/world_religions/74,1,193.39,0.004109939999999999,1,16384
ecologic,mmlu/world_religions/79,1,179.73,0.00411181,1,16384
always_t1,gsm8k/100,1,192.36,0.00411895,0,16384
always_t1,gsm8k/1000,1,25.62,0.00055032,1,2119
always_t1,gsm8k/1026,1,43.31,0.0008776200000000001,1,3435
always_t1,gsm8k/1034,1,20.04,0.00042759,1,1658
always_t1,gsm8k/1041,1,196.94,0.0041129999999999995,1,16384
always_t1,gsm8k/1054,1,18.9,0.00041765,1,1606
always_t1,gsm8k/106,1,19.09,0.00036252999999999996,1,1393
always_t1,gsm8k/1062,1,31.53,0.00046572,1,1784
always_t1,gsm8k/1074,1,14.62,0.00032852,1,1259
always_t1,gsm8k/1080,1,15.98,0.00036741000000000003,1,1420
always_t1,gsm8k/1108,1,11.77,0.00019181,1,704
always_t1,gsm8k/1110,1,16.41,0.00033723,1,1268
always_t1,gsm8k/1115,1,34.37,0.00070902,1,2764
always_t1,gsm8k/1117,1,16.57,0.00037541,1,1452
always_t1,gsm8k/1156,1,268.88,0.00411385,1,16384
always_t1,gsm8k/1165,1,43.23,0.00105296,1,4135
always_t1,gsm8k/1168,1,19.69,0.00042689999999999997,1,1643
always_t1,gsm8k/1170,1,14.66,0.00032486,1,1226
always_t1,gsm8k/1174,1,69.51,0.00109881,1,4315
always_t1,gsm8k/1183,1,21.87,0.00056385,1,2150
always_t1,gsm8k/1227,1,76.23,0.00122232,1,4824
always_t1,gsm8k/1240,1,18.01,0.00048865,1,1873
always_t1,gsm8k/1251,1,78.62,0.0016064599999999999,1,6349
always_t1,gsm8k/1260,1,10.18,0.00023149,1,843
always_t1,gsm8k/1269,1,24.54,0.00047282,1,1826
always_t1,gsm8k/1277,1,12.75,0.00034251,1,1317
always_t1,gsm8k/1279,1,29.49,0.00073323,1,2852
always_t1,gsm8k/129,1,47.46,0.00094451,1,3708
always_t1,gsm8k/1305,1,15.72,0.00028639999999999997,1,1081
always_t1,gsm8k/134,1,10.1,0.00020856,1,788
always_t1,gsm8k/185,1,11.23,0.00023235,1,875
always_t1,gsm8k/186,1,33.16,0.0006982700000000001,1,2687
always_t1,gsm8k/188,1,14.7,0.00030178,1,1133
always_t1,gsm8k/190,1,8.16,0.00019522999999999999,1,734
always_t1,gsm8k/196,1,10.45,0.00023102,1,869
always_t1,gsm8k/20,1,39.28,0.00096451,1,3788
always_t1,gsm8k/205,1,55.88,0.0012743399999999999,1,5011
always_t1,gsm8k/220,1,15.27,0.00031288,1,1191
always_t1,gsm8k/225,1,22.72,0.00048974,1,1893
always_t1,gsm8k/227,1,25.09,0.0005970999999999999,1,2283
always_t1,gsm8k/234,1,21.09,0.00045714,0,1766
always_t1,gsm8k/249,1,18.81,0.00045727,1,1757
always_t1,gsm8k/250,1,21.69,0.00044909,1,1727
always_t1,gsm8k/268,1,11.46,0.00024655,1,925
always_t1,gsm8k/27,1,22.95,0.00049399,1,1910
always_t1,gsm8k/290,1,23.5,0.00052018,1,2010
always_t1,gsm8k/299,1,44.11,0.0009621699999999999,1,3763
always_t1,gsm8k/301,1,75.07,0.00165876,1,6548
always_t1,gsm8k/303,1,16.89,0.00038474,1,1456
always_t1,gsm8k/313,1,60.94,0.0013477600000000001,1,5321
always_t1,gsm8k/314,1,13.62,0.00032648000000000003,1,1242
always_t1,gsm8k/33,1,14.8,0.00032106999999999996,1,1236
always_t1,gsm8k/350,1,13.63,0.00028281000000000004,1,1051
always_t1,gsm8k/353,1,15.66,0.00035371999999999997,1,1336
always_t1,gsm8k/365,1,201.25,0.0041077299999999995,1,16384
always_t1,gsm8k/420,1,13.61,0.00035349000000000003,1,1348
always_t1,gsm8k/426,1,23.86,0.0006026100000000001,1,2337
always_t1,gsm8k/453,1,18.58,0.00041181,1,1584
always_t1,gsm8k/454,1,11.01,0.00021647,0,821
always_t1,gsm8k/468,1,13.1,0.00032616,1,1238
always_t1,gsm8k/474,1,10.36,0.00025693,1,974
always_t1,gsm8k/481,1,24.41,0.00054654,1,2110
always_t1,gsm8k/488,1,11.89,0.00026319,1,997
always_t1,gsm8k/491,1,10.41,0.00027561,1,1046
always_t1,gsm8k/50,1,192.41,0.00410909,1,16384
always_t1,gsm8k/519,1,9.51,0.00025149,1,957
always_t1,gsm8k/552,1,171.65,0.00411453,0,16384
always_t1,gsm8k/553,1,10.06,0.00024620999999999996,1,908
always_t1,gsm8k/562,1,92.36,0.00187807,1,7430
always_t1,gsm8k/578,1,22.39,0.00052147,1,2024
always_t1,gsm8k/581,1,11.8,0.00025588,1,963
